dataset_of_70s_track,dataset_of_70s_artist,dataset_of_70s_uri,dataset_of_70s_danceability,dataset_of_70s_energy,dataset_of_70s_key,dataset_of_70s_loudness,dataset_of_70s_mode,dataset_of_70s_speechiness,dataset_of_70s_acousticness,dataset_of_70s_instrumentalness,dataset_of_70s_liveness,dataset_of_70s_valence,dataset_of_70s_tempo,dataset_of_70s_duration_ms,dataset_of_70s_time_signature,dataset_of_70s_chorus_hit,dataset_of_70s_sections,dataset_of_70s_target,dataset_of_70s_id_ano
"""Der Berg (Aus """" Der Watzmann ruft """" ) - Live""",Wolfgang Ambros,spotify:track:18CACQBgOwkGXMlUl7xBOk,0.346,"0,284",9,"-19,699",0,"0,236","0,64","0,0001","0,985","0,27","133,362",299267,4,"49,66483",11,0,4
"""Evergreen (Love Theme From """"A Star Is Born"""")""",Barbra Streisand,spotify:track:2IcqY68BxP1ONPi3ME6aje,0.335,"0,303",9,"-10,943",1,"0,0315","0,932","0,0271","0,0907","0,186","114,224",184800,4,"16,95608",12,1,4
"""Intrusion des racketteurs noirs dans les maison closes de """"la ficelle"""" et """"l’élégant""""""",François de Roubaix,spotify:track:4tmvVO8Im8i4PYjZHYzS5E,0.526,"0,313",7,"-20,736",0,"0,0572","0,606","0,832","0,101","0,371","99,624",356347,4,"21,08757",14,0,4
"""The Ballad of Sweeney Todd: """"Sweeney Pondered and Sweeney Planned""""""",Stephen Sondheim,spotify:track:2vaIZdW4YI9EJn8dFrB955,0.546,"0,62",8,"-11,298",1,"0,104","0,972","8,41E-06","0,409","0,366","132,445",31107,4,"7,69751",3,0,4
"""The Grand Duel (Part VI) (From """"Il Grande Duello / The Grand Duel"""")""",Luis Bacalov,spotify:track:4cKvOi1xvpJFHMZYMU0H6Z,0.178,"0,0421",2,"-28,872",0,"0,0391","0,286","0,116","0,107","0,155","82,29",146200,4,"22,49245",10,0,4
"""Wonkavator/End Title (Pure Imagination) - From """"Willy Wonka & The Chocolate Factory"""" Soundtrack""",Leslie Bricusse,spotify:track:1TQnTUyKgKUTsEL9ySRw69,0.142,"0,444",2,"-16,769",1,"0,295","0,791","0,548","0,485","0,221","180,572",190307,3,"25,57403",10,0,4
(Bringing Out) The Girl In Me,Maxine Nightingale,spotify:track:5fuRsSCGDlOImVIJktdyoV,0.713,"0,756",9,"-7,698",1,"0,0401","0,752","2,22E-06","0,178","0,945","116,153",210973,4,"33,07233",9,1,4
(Call Me Your) Anything Man,Bobby Moore,spotify:track:0O38BS1klXTO7qRKeEsUK4,0.624,"0,604",3,"-12,401",0,"0,0459","0,0474","0,00159","0,263","0,76","91,554",374491,4,"22,56692",15,1,4
(If Loving You Is Wrong) I Don't Want To Be Right,Luther Ingram,spotify:track:54K7o2yNOMZYCtEDnfD6wI,0.502,"0,451",4,"-7,423",0,"0,0438","0,283",0,"0,154","0,531","140,474",216800,4,"35,32978",8,1,4
(If You Let Me Make Love To You Then) Why Can't I Touch You?,Ronnie Dyson,spotify:track:5QQOXL6qvhobRG7zfjQCXW,0.398,"0,692",0,"-8,596",1,"0,045","0,496",0,"0,394","0,65","93,907",203747,4,"46,16124",8,1,4
