dataset_of_10s_track,dataset_of_10s_artist,dataset_of_10s_uri,dataset_of_10s_danceability,dataset_of_10s_energy,dataset_of_10s_key,dataset_of_10s_loudness,dataset_of_10s_mode,dataset_of_10s_speechiness,dataset_of_10s_acousticness,dataset_of_10s_instrumentalness,dataset_of_10s_liveness,dataset_of_10s_valence,dataset_of_10s_tempo,dataset_of_10s_duration_ms,dataset_of_10s_time_signature,dataset_of_10s_chorus_hit,dataset_of_10s_sections,dataset_of_10s_target,dataset_of_10s_id_ano
"""Game Of Thrones - From The """"Game Of Thrones"""" Soundtrack""",Ramin Djawadi,spotify:track:2kgJYQKyQ1CK5GWcCUGwwh,"0,551","0,558",8,"-18,029",1,"0,0431","0,483","0,675","0,102","0,168","146,039",78293,3,"30,4268",5,0,2
"""Glass: Truman Sleeps (From """"The Truman Show"""")""",Philip Glass,spotify:track:2fwzsUkquSIHQbBjrayijJ,"0,416","0,0937",5,"-18,928",0,"0,0336","0,951","0,948","0,106","0,0967","134,468",99533,4,"69,7431",3,0,2
"""Holes In The Sky - From The """"Insurgent"""" Soundtrack""",M83,spotify:track:0m6pHsgfp0w35w1mEOVepJ,"0,123","0,494",0,"-9,123",1,"0,0339","0,146","0,0164","0,109","0,0742","68,703",261307,4,"15,4475",10,0,2
"""Milegi Milegi (From """"Stree"""")""",Mika Singh,spotify:track:52uiJsA4FrtAZlgqxCJwJI,"0,843","0,892",2,"-4,371",1,"0,0527","0,0512","1,13E-06","0,101","0,655","125,991",153745,4,"30,41224",9,0,2
"""Symphony No. 7. """"Angel of Light"""": III. Come un sogno""",Einojuhani Rautavaara,spotify:track:5D1C13JHD5kCD94O8WnXK1,"0,101","0,0292",1,"-31,949",1,"0,0426","0,308","0,87","0,112","0,0288","62,929",615693,4,"43,59125",29,0,2
"""Theme From """"Bus Stop""""""",Jackie Gleason,spotify:track:5Jd78KUwqhZcY5msCpsDLw,"0,245","0,0935",5,"-19,343",1,"0,0373","0,748","0,254","0,0963","0,107","124,385",222787,4,"20,536",12,0,2
"""Till The End - From """"Me Before You""""""",Jessie Ware,spotify:track:4wuKfMYt9XIDiGCIfloBRR,"0,662","0,395",4,"-10,694",1,"0,0593","0,766","0,00594","0,125","0,534","73,012",180560,4,"42,15589",8,0,2
"""Tujhe Kitna Chahne Lage (From """"Kabir Singh"""")""",Arijit Singh,spotify:track:2Fv2injs4qAm8mJBGaxVKU,"0,427","0,396",11,"-7,556",1,"0,0366","0,736",0,"0,11","0,306","70,368",284780,4,"77,04029",12,0,2
$ave Dat Money,Lil Dicky Featuring Fetty Wap & Rich Homie Quan,spotify:track:6AoYWCzsDls6c61Zp5qTuU,"0,858","0,697",2,"-5,361",1,"0,23","0,114",0,"0,224","0,364","98,012",290836,4,"38,04379",13,1,2
(If You're Wondering If I Want You To) I Want You To,Weezer,spotify:track:09aDV0TC2RfWFU5IwZfIdG,"0,695","0,873",11,"-5,722",0,"0,0392","0,00163","0,000198","0,154","0,799","110,021",208773,4,"49,23985",8,1,2
(Kissed You) Good Night,Gloriana,spotify:track:0Rj68IX1WqAtceUZQGk7aa,"0,523","0,747",11,"-6,125",1,"0,0292","0,0807",0,"0,11","0,294","118,97",232903,4,"26,35749",10,1,2
***Flawless,Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie,spotify:track:0zVMzJ37VQNFUNvdxxat2E,"0,639","0,659",8,"-7,273",1,"0,215","0,241","8,33E-06","0,484","0,457","136,801",234413,4,"49,88638",9,1,2
