CD_SETOR,SITUACAO,AREA_KM2,CD_REGIAO,NM_REGIAO,CD_UF,NM_UF,CD_MUN,NM_MUN,CD_DIST,NM_DIST,CD_SUBDIST,NM_SUBDIST,CD_BAIRRO,NM_BAIRRO,CD_NU,NM_NU,v0001,v0002,v0003,v0004,v0005,v0006,v0007
"3,30391E+14",Urbana,"0,0134471",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390605,Petrópolis,33039060500,,.,,.,,111,155,155,0,"1,5","0,0822",73
"3,30391E+14",Urbana,"0,0168073",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390605,Petrópolis,33039060500,,.,,.,,300,239,239,0,2,"0,0136",147
"3,30391E+14",Urbana,"0,0205322",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390605,Petrópolis,33039060500,,.,,.,,345,221,221,0,"2,3","0,0728",151
"3,30391E+14",Urbana,"0,0270654",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390605,Petrópolis,33039060500,,.,,.,,338,284,284,0,"1,9","0,0447",179
"3,30391E+14",Urbana,"0,0118641",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390605,Petrópolis,33039060500,,.,,.,,337,282,282,0,"1,7","0,0104",193
"3,30391E+14",Urbana,"0,0311398",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390605,Petrópolis,33039060500,,.,,.,,314,191,191,0,"2,2","0,0137",146
"3,30391E+14",Urbana,"0,0228381",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390605,Petrópolis,33039060500,,.,,.,,357,231,231,0,"2,2",0,166
"3,30391E+14",Urbana,"0,0145805",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390605,Petrópolis,33039060500,,.,,.,,474,277,276,1,"2,2","0,0047",211
"3,30391E+14",Urbana,"0,1452985",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390605,Petrópolis,33039060500,,.,,.,,389,292,292,0,"1,9","0,0394",203
"3,30391E+14",Urbana,"0,1874605",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390605,Petrópolis,33039060500,,.,,.,,196,186,182,4,"2,4","0,122",82
"3,30391E+14",Urbana,"0,1113482",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390605,Petrópolis,33039060500,,.,,.,,362,209,208,1,"2,1","0,0471",170
"3,30391E+14",Urbana,"0,0222989",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390605,Petrópolis,33039060500,,.,,.,,478,243,240,3,"2,4","0,0213",188
"3,30391E+14",Urbana,"0,1660329",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390605,Petrópolis,33039060500,,.,,.,,338,258,254,4,2,"0,0178",169
"3,30391E+14",Urbana,"0,0095628",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390605,Petrópolis,33039060500,,.,,.,,27,1,0,1,0,0,0
"3,30391E+14",Urbana,"0,0306126",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390605,Petrópolis,33039060500,,.,,.,,375,210,210,0,"2,1","0,0343",175
"3,30391E+14",Urbana,"0,0670368",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390605,Petrópolis,33039060500,,.,,.,,300,299,299,0,"1,7","0,0289",173
"3,30391E+14",Urbana,"0,0276394",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390605,Petrópolis,33039060500,,.,,.,,455,210,210,0,"2,5","0,0055",182
"3,30391E+14",Urbana,"0,1326184",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390605,Petrópolis,33039060500,,.,,.,,355,273,273,0,"2,4",0,147
"3,30391E+14",Urbana,"0,0587564",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390605,Petrópolis,33039060500,,.,,.,,398,187,187,0,"2,6","0,0325",154
